Controlled_devices(W),Scope(reporting_type),PM_Setting(min),ComputerDeltaPower(W),Intervention_Setting (min),AVG_Idle_Percent,STDEV_Idle_Percent,AVGtotal_day idle percent,STDEV_total_day idle percent,AVGruntimesavedperday,STDEV_runtimesavedperday,AVGtotaldaysEstimate,STDEV_totaldaysEstimate,TotalRecordsProcessed,,,,,,,,,,,,,
No Controlled Devices,,,,,,,,,,,,,,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,240.00,0.78,0.19,0.63,0.33,468.20,310.18,4.16,2.75,118.00,,,,,,,,,,,,,
1.46,AllDays,Wildtype,0.00,300.00,0.78,0.19,0.63,0.33,405.38,274.95,3.60,2.44,118.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1.46,AllDays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,5.00,0.78,0.19,0.63,0.33,851.61,469.88,5.18,2.86,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,10.00,0.78,0.19,0.63,0.33,817.95,465.08,4.98,2.83,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,15.00,0.78,0.19,0.63,0.33,799.05,460.78,4.86,2.80,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,20.00,0.78,0.19,0.63,0.33,785.34,456.94,4.78,2.78,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,25.00,0.78,0.19,0.63,0.33,772.27,453.11,4.70,2.76,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,30.00,0.78,0.19,0.63,0.33,760.39,449.24,4.63,2.73,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,35.00,0.78,0.19,0.63,0.33,749.49,445.40,4.56,2.71,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,40.00,0.78,0.19,0.63,0.33,738.83,441.59,4.49,2.69,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,45.00,0.78,0.19,0.63,0.33,728.73,437.86,4.43,2.66,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,50.00,0.78,0.19,0.63,0.33,719.16,434.20,4.37,2.64,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,55.00,0.78,0.19,0.63,0.33,709.75,430.59,4.32,2.62,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,60.00,0.78,0.19,0.63,0.33,700.73,427.00,4.26,2.60,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,120.00,0.78,0.19,0.63,0.33,610.61,386.22,3.71,2.35,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,180.00,0.78,0.19,0.63,0.33,535.43,347.48,3.26,2.11,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,240.00,0.78,0.19,0.63,0.33,468.20,310.18,2.85,1.89,118.00,,,,,,,,,,,,,
1,AllDays,Wildtype,0.00,300.00,0.78,0.19,0.63,0.33,405.38,274.95,2.47,1.67,118.00,,,,,,,,,,,,,
1,AllDays,5,0.00,5.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,10.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,15.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,20.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,25.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,30.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,35.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,40.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,45.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,50.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,55.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,60.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,120.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,180.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,240.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
1,AllDays,5,0.00,300.00,None,None,None,None,None,None,None,None,0.00,,,,,,,,,,,,,
Controlled Devices (W): 5,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AllDays,Wildtype,0.00,5.00,0.78,0.19,0.63,0.33,851.61,469.88,25.90,14.29,118.00,,,,,,,,,,,,,
5,AllDays,Wildtype,0.00,10.00,0.78,0.19,0.63,0.33,817.95,465.08,24.88,14.15,118.00,,,Invervention Setting (min),Week Days,All Days,Weekend Days,,,,,,,
5,AllDays,Wildtype,0.00,15.00,0.78,0.19,0.63,0.33,799.05,460.78,24.30,14.02,118.00,,0.083333333,5,852,816,944,,,,,,,
5,AllDays,Wildtype,0.00,20.00,0.78,0.19,0.63,0.33,785.34,456.94,23.89,13.90,118.00,,0.166666667,10,818,773,935,,,,,,,
5,AllDays,Wildtype,0.00,25.00,0.78,0.19,0.63,0.33,772.27,453.11,23.49,13.78,118.00,,0.25,15,799,750,928,,,,,,,
5,AllDays,Wildtype,0.00,30.00,0.78,0.19,0.63,0.33,760.39,449.24,23.13,13.66,118.00,,0.333333333,20,785,733,922,,,,,,,
5,AllDays,Wildtype,0.00,35.00,0.78,0.19,0.63,0.33,749.49,445.40,22.80,13.55,118.00,,0.416666667,25,772,717,916,,,,,,,
5,AllDays,Wildtype,0.00,40.00,0.78,0.19,0.63,0.33,738.83,441.59,22.47,13.43,118.00,,0.5,30,760,703,910,,,,,,,
5,AllDays,Wildtype,0.00,45.00,0.78,0.19,0.63,0.33,728.73,437.86,22.17,13.32,118.00,,0.583333333,35,749,690,904,,,,,,,
5,AllDays,Wildtype,0.00,50.00,0.78,0.19,0.63,0.33,719.16,434.20,21.87,13.21,118.00,,0.666666667,40,739,678,899,,,,,,,
5,AllDays,Wildtype,0.00,55.00,0.78,0.19,0.63,0.33,709.75,430.59,21.59,13.10,118.00,,0.75,45,729,666,893,,,,,,,
5,AllDays,Wildtype,0.00,60.00,0.78,0.19,0.63,0.33,700.73,427.00,21.31,12.99,118.00,,0.833333333,50,719,654,888,,,,,,,
5,AllDays,Wildtype,0.00,120.00,0.78,0.19,0.63,0.33,610.61,386.22,18.57,11.75,118.00,,0.916666667,55,710,643,883,,,,,,,
