pid,state,eventid,hashKey,submit_time,timestamp,timestampString
9991n,USER_ACTIVE,7,1538007208000USER_ACTIVE9991n,"2018-09-26 17:18:35",1538007208000,"2018-09-26 17:13:28"
9991n,USER_IDLE,15,1538007269000USER_IDLE9991n,"2018-09-26 17:18:35",1538007269000,"2018-09-26 17:14:29"
9991n,USER_IDLE,8,1538007810000USER_IDLE9991n,"2018-09-26 17:48:35",1538007810000,"2018-09-26 17:23:30"
9991n,USER_ACTIVE,7,1538008528000USER_ACTIVE9991n,"2018-09-26 17:48:35",1538008528000,"2018-09-26 17:35:28"
9991n,USER_IDLE,15,1538008589000USER_IDLE9991n,"2018-09-26 17:48:35",1538008589000,"2018-09-26 17:36:29"
9991n,USER_ACTIVE,7,1538008650000USER_ACTIVE9991n,"2018-09-26 17:48:35",1538008650000,"2018-09-26 17:37:30"
9991n,USER_IDLE,6,1538009550000USER_IDLE9991n,"2018-09-26 18:18:35",1538009550000,"2018-09-26 17:52:30"
9991n,USER_ACTIVE,7,1538009552000USER_ACTIVE9991n,"2018-09-26 18:18:35",1538009552000,"2018-09-26 17:52:32"
9991n,USER_IDLE,15,1538009683000USER_IDLE9991n,"2018-09-26 18:18:35",1538009683000,"2018-09-26 17:54:43"
9991n,USER_IDLE,8,1538010224000USER_IDLE9991n,"2018-09-26 18:18:35",1538010224000,"2018-09-26 18:03:44"
9991n,USER_ACTIVE,7,1538010572000USER_ACTIVE9991n,"2018-09-26 18:18:35",1538010572000,"2018-09-26 18:09:32"
9991n,USER_IDLE,15,1538010632000USER_IDLE9991n,"2018-09-26 18:18:35",1538010632000,"2018-09-26 18:10:32"
9991n,USER_IDLE,8,1538011172000USER_IDLE9991n,"2018-09-26 18:48:35",1538011172000,"2018-09-26 18:19:32"
9991n,USER_IDLE,6,1538012071000USER_IDLE9991n,"2018-09-26 18:48:35",1538012071000,"2018-09-26 18:34:31"
9991n,USER_IDLE,8,1538012672000USER_IDLE9991n,"2018-09-26 18:48:35",1538012672000,"2018-09-26 18:44:32"
9991n,USER_IDLE,6,1538013572000USER_IDLE9991n,"2018-09-26 19:18:35",1538013572000,"2018-09-26 18:59:32"
9991n,USER_IDLE,8,1538014173000USER_IDLE9991n,"2018-09-26 19:18:35",1538014173000,"2018-09-26 19:09:33"
9991n,USER_IDLE,6,1538015072000USER_IDLE9991n,"2018-09-26 19:48:35",1538015072000,"2018-09-26 19:24:32"
9991n,USER_IDLE,8,1538015673000USER_IDLE9991n,"2018-09-26 19:48:35",1538015673000,"2018-09-26 19:34:33"
9991n,USER_IDLE,6,1538016573000USER_IDLE9991n,"2018-09-26 20:18:35",1538016573000,"2018-09-26 19:49:33"
9991n,USER_IDLE,8,1538017174000USER_IDLE9991n,"2018-09-26 20:18:35",1538017174000,"2018-09-26 19:59:34"
9991n,USER_IDLE,6,1538018073000USER_IDLE9991n,"2018-09-26 20:18:35",1538018073000,"2018-09-26 20:14:33"
9991n,USER_ACTIVE,7,1538018079000USER_ACTIVE9991n,"2018-09-26 20:18:35",1538018079000,"2018-09-26 20:14:39"
9991n,USER_IDLE,15,1538018140000USER_IDLE9991n,"2018-09-26 20:18:35",1538018140000,"2018-09-26 20:15:40"
9991n,USER_ACTIVE,7,1538018209000USER_ACTIVE9991n,"2018-09-26 20:18:35",1538018209000,"2018-09-26 20:16:49"
9991n,USER_IDLE,15,1538018520000USER_IDLE9991n,"2018-09-26 20:48:35",1538018520000,"2018-09-26 20:22:00"
9991n,USER_ACTIVE,7,1538018538000USER_ACTIVE9991n,"2018-09-26 20:48:35",1538018538000,"2018-09-26 20:22:18"
9991n,USER_IDLE,15,1538018613000USER_IDLE9991n,"2018-09-26 20:48:35",1538018613000,"2018-09-26 20:23:33"
9991n,USER_ACTIVE,7,1538018685000USER_ACTIVE9991n,"2018-09-26 20:48:35",1538018685000,"2018-09-26 20:24:45"
9991n,USER_IDLE,15,1538018748000USER_IDLE9991n,"2018-09-26 20:48:35",1538018748000,"2018-09-26 20:25:48"
9991n,USER_ACTIVE,7,1538018797000USER_ACTIVE9991n,"2018-09-26 20:48:35",1538018797000,"2018-09-26 20:26:37"
9991n,USER_IDLE,15,1538019013000USER_IDLE9991n,"2018-09-26 20:48:35",1538019013000,"2018-09-26 20:30:13"
9991n,USER_ACTIVE,7,1538019468000USER_ACTIVE9991n,"2018-09-26 20:48:35",1538019468000,"2018-09-26 20:37:48"
9991n,USER_IDLE,15,1538019530000USER_IDLE9991n,"2018-09-26 20:48:35",1538019530000,"2018-09-26 20:38:50"
9991n,USER_IDLE,8,1538020070000USER_IDLE9991n,"2018-09-26 20:48:35",1538020070000,"2018-09-26 20:47:50"
9991n,USER_IDLE,6,1538020969000USER_IDLE9991n,"2018-09-26 21:18:35",1538020969000,"2018-09-26 21:02:49"
9991n,USER_IDLE,8,1538021570000USER_IDLE9991n,"2018-09-26 21:18:35",1538021570000,"2018-09-26 21:12:50"
9991n,USER_ACTIVE,7,1538022095000USER_ACTIVE9991n,"2018-09-26 21:48:35",1538022095000,"2018-09-26 21:21:35"
9991n,USER_IDLE,15,1538022178000USER_IDLE9991n,"2018-09-26 21:48:35",1538022178000,"2018-09-26 21:22:58"
9991n,USER_ACTIVE,7,1538022180000USER_ACTIVE9991n,"2018-09-26 21:48:35",1538022180000,"2018-09-26 21:23:00"
9991n,USER_IDLE,15,1538022240000USER_IDLE9991n,"2018-09-26 21:48:35",1538022240000,"2018-09-26 21:24:00"
9991n,USER_IDLE,8,1538022781000USER_IDLE9991n,"2018-09-26 21:48:35",1538022781000,"2018-09-26 21:33:01"
9991n,USER_IDLE,6,1538023680000USER_IDLE9991n,"2018-09-26 21:48:35",1538023680000,"2018-09-26 21:48:00"
9991n,USER_IDLE,8,1538024282000USER_IDLE9991n,"2018-09-26 22:18:35",1538024282000,"2018-09-26 21:58:02"
9991n,USER_IDLE,6,1538025181000USER_IDLE9991n,"2018-09-26 22:18:35",1538025181000,"2018-09-26 22:13:01"
9991n,USER_ACTIVE,7,1538025462000USER_ACTIVE9991n,"2018-09-26 22:18:35",1538025462000,"2018-09-26 22:17:42"
9991n,USER_IDLE,15,1538025604000USER_IDLE9991n,"2018-09-26 22:48:35",1538025604000,"2018-09-26 22:20:04"
9991n,USER_ACTIVE,7,1538025773000USER_ACTIVE9991n,"2018-09-26 22:48:35",1538025773000,"2018-09-26 22:22:53"
9991n,USER_IDLE,15,1538025862000USER_IDLE9991n,"2018-09-26 22:48:35",1538025862000,"2018-09-26 22:24:22"
9991n,USER_ACTIVE,7,1538026179000USER_ACTIVE9991n,"2018-09-26 22:48:35",1538026179000,"2018-09-26 22:29:39"
9991n,USER_IDLE,15,1538026239000USER_IDLE9991n,"2018-09-26 22:48:35",1538026239000,"2018-09-26 22:30:39"
9991n,USER_IDLE,8,1538026779000USER_IDLE9991n,"2018-09-26 22:48:35",1538026779000,"2018-09-26 22:39:39"
