"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)","Light (LGR S/N: 20433441)","Occupancy (LGR S/N: 20433441)"
129,11/02/18 03:14:40 PM,0,0,,
130,11/02/18 03:14:50 PM,0,1,,
131,11/02/18 03:15:00 PM,1,0,,
132,11/02/18 03:15:03 PM,,,,0.00
133,11/02/18 03:15:10 PM,0,1,,
134,11/02/18 03:15:20 PM,1,1,,
135,11/02/18 03:15:21 PM,,,,1.00
136,11/02/18 03:15:30 PM,0,0,,
137,11/02/18 03:15:40 PM,0,0,,
138,11/02/18 03:15:50 PM,0,0,,
139,11/02/18 03:16:00 PM,0,0,,
140,11/02/18 03:16:10 PM,1,0,,
141,11/02/18 03:16:20 PM,1,1,,
142,11/02/18 03:16:30 PM,0,0,,
143,11/02/18 03:16:40 PM,0,1,,
144,11/02/18 03:16:50 PM,1,1,,
145,11/02/18 03:17:00 PM,1,1,,
146,11/02/18 03:17:10 PM,0,0,,
147,11/02/18 03:17:20 PM,1,1,,
148,11/02/18 03:17:30 PM,0,1,,
149,11/02/18 03:17:40 PM,1,0,,
150,11/02/18 03:17:50 PM,0,0,,
151,11/02/18 03:18:00 PM,1,1,,
152,11/02/18 03:18:10 PM,0,0,,
153,11/02/18 03:18:20 PM,0,1,,
154,11/02/18 03:18:30 PM,0,0,,
155,11/02/18 03:18:40 PM,1,1,,
156,11/02/18 03:18:50 PM,1,0,,
157,11/02/18 03:19:00 PM,0,1,,
158,11/02/18 03:19:10 PM,0,0,,
159,11/02/18 03:19:20 PM,1,1,,
160,11/02/18 03:19:30 PM,0,0,,
161,11/02/18 03:19:40 PM,0,1,,
162,11/02/18 03:19:50 PM,1,0,,
163,11/02/18 03:20:00 PM,1,1,,
164,11/02/18 03:20:10 PM,0,0,,
165,11/02/18 03:20:20 PM,0,0,,
166,11/02/18 03:20:30 PM,0,1,,
167,11/02/18 03:20:40 PM,1,1,,
168,11/02/18 03:20:50 PM,1,0,,
169,11/02/18 03:21:00 PM,0,1,,
170,11/02/18 03:21:10 PM,1,0,,
171,11/02/18 03:21:20 PM,0,0,,
172,11/02/18 03:21:30 PM,0,1,,
173,11/02/18 03:21:40 PM,0,0,,
174,11/02/18 03:21:50 PM,1,1,,
175,11/02/18 03:22:00 PM,0,0,,
176,11/02/18 03:22:10 PM,2,1,,
177,11/02/18 03:22:20 PM,0,0,,
178,11/02/18 03:22:30 PM,1,1,,
179,11/02/18 03:22:40 PM,0,0,,
180,11/02/18 03:22:50 PM,1,1,,
181,11/02/18 03:23:00 PM,1,0,,
182,11/02/18 03:23:10 PM,1,0,,
183,11/02/18 03:23:20 PM,0,1,,
184,11/02/18 03:23:30 PM,1,0,,
185,11/02/18 03:23:40 PM,0,0,,
186,11/02/18 03:23:50 PM,1,1,,
187,11/02/18 03:24:00 PM,0,0,,
188,11/02/18 03:24:10 PM,1,0,,
189,11/02/18 03:24:20 PM,1,1,,
190,11/02/18 03:24:30 PM,1,0,,
191,11/02/18 03:24:40 PM,0,0,,
192,11/02/18 03:24:50 PM,0,0,,
193,11/02/18 03:25:00 PM,1,1,,
194,11/02/18 03:25:10 PM,0,0,,
195,11/02/18 03:25:20 PM,0,0,,
196,11/02/18 03:25:30 PM,1,0,,
197,11/02/18 03:25:40 PM,0,1,,
198,11/02/18 03:25:50 PM,0,0,,
199,11/02/18 03:26:00 PM,0,0,,
200,11/02/18 03:26:10 PM,0,0,,
201,11/02/18 03:26:20 PM,0,0,,
202,11/02/18 03:26:30 PM,1,1,,
203,11/02/18 03:26:40 PM,0,0,,
204,11/02/18 03:26:50 PM,0,0,,
205,11/02/18 03:27:00 PM,0,0,,
206,11/02/18 03:27:10 PM,0,0,,
207,11/02/18 03:27:20 PM,0,0,,
208,11/02/18 03:27:30 PM,0,0,,
209,11/02/18 03:27:40 PM,0,0,,
210,11/02/18 03:27:50 PM,0,0,,
211,11/02/18 03:27:58 PM,,,,0.00
212,11/02/18 03:28:00 PM,1,1,,
213,11/02/18 03:28:06 PM,,,,1.00
214,11/02/18 03:28:10 PM,0,0,,
215,11/02/18 03:28:20 PM,0,1,,
216,11/02/18 03:28:30 PM,1,1,,
217,11/02/18 03:28:40 PM,0,0,,
218,11/02/18 03:28:50 PM,0,0,,
219,11/02/18 03:29:00 PM,1,1,,
220,11/02/18 03:29:10 PM,1,0,,
221,11/02/18 03:29:20 PM,0,1,,
222,11/02/18 03:29:30 PM,0,0,,
223,11/02/18 03:29:40 PM,1,1,,
224,11/02/18 03:29:50 PM,0,0,,
225,11/02/18 03:30:00 PM,0,0,,
226,11/02/18 03:30:10 PM,0,0,,
227,11/02/18 03:30:20 PM,1,1,,
228,11/02/18 03:30:30 PM,0,0,,
229,11/02/18 03:30:40 PM,0,0,,
230,11/02/18 03:30:50 PM,1,1,,
231,11/02/18 03:31:00 PM,0,0,,
232,11/02/18 03:31:10 PM,0,0,,
233,11/02/18 03:31:20 PM,1,1,,
234,11/02/18 03:31:30 PM,1,0,,
235,11/02/18 03:31:40 PM,1,1,,
236,11/02/18 03:31:50 PM,1,1,,
237,11/02/18 03:32:00 PM,1,0,,
238,11/02/18 03:32:10 PM,1,1,,
239,11/02/18 03:32:20 PM,0,0,,
240,11/02/18 03:32:30 PM,0,0,,
241,11/02/18 03:32:40 PM,0,0,,
242,11/02/18 03:32:50 PM,0,0,,
243,11/02/18 03:33:00 PM,0,0,,
244,11/02/18 03:33:10 PM,1,1,,
245,11/02/18 03:33:20 PM,0,0,,
246,11/02/18 03:33:30 PM,0,1,,
247,11/02/18 03:33:40 PM,0,0,,
248,11/02/18 03:33:50 PM,1,1,,
249,11/02/18 03:34:00 PM,0,0,,
250,11/02/18 03:34:10 PM,0,0,,
251,11/02/18 03:34:20 PM,0,0,,
252,11/02/18 03:34:30 PM,1,1,,
253,11/02/18 03:34:40 PM,0,0,,
254,11/02/18 03:34:50 PM,0,0,,
255,11/02/18 03:35:00 PM,1,1,,
256,11/02/18 03:35:10 PM,1,1,,
257,11/02/18 03:35:20 PM,0,0,,
258,11/02/18 03:35:30 PM,0,0,,
259,11/02/18 03:35:40 PM,1,1,,
260,11/02/18 03:35:50 PM,1,1,,
261,11/02/18 03:36:00 PM,0,0,,
262,11/02/18 03:36:10 PM,1,0,,
263,11/02/18 03:36:20 PM,0,0,,
264,11/02/18 03:36:30 PM,0,0,,
265,11/02/18 03:36:40 PM,0,0,,
266,11/02/18 03:36:50 PM,1,1,,
267,11/02/18 03:37:00 PM,1,1,,
268,11/02/18 03:37:10 PM,0,0,,
269,11/02/18 03:37:20 PM,1,0,,
270,11/02/18 03:37:30 PM,1,1,,
271,11/02/18 03:37:40 PM,1,1,,
272,11/02/18 03:37:50 PM,0,0,,
273,11/02/18 03:38:00 PM,1,1,,
274,11/02/18 03:38:10 PM,0,0,,
275,11/02/18 03:38:20 PM,1,0,,
276,11/02/18 03:38:30 PM,0,0,,
277,11/02/18 03:38:40 PM,1,1,,
278,11/02/18 03:38:50 PM,1,0,,
279,11/02/18 03:39:00 PM,0,0,,
280,11/02/18 03:39:10 PM,0,1,,
281,11/02/18 03:39:20 PM,1,1,,
282,11/02/18 03:39:30 PM,0,0,,
283,11/02/18 03:39:40 PM,1,1,,
284,11/02/18 03:39:50 PM,0,0,,
285,11/02/18 03:40:00 PM,0,0,,
286,11/02/18 03:40:10 PM,1,1,,
287,11/02/18 03:40:20 PM,1,1,,
288,11/02/18 03:40:30 PM,0,0,,
289,11/02/18 03:40:40 PM,1,1,,
290,11/02/18 03:40:50 PM,1,1,,
291,11/02/18 03:41:00 PM,0,0,,
292,11/02/18 03:41:10 PM,0,0,,
293,11/02/18 03:41:20 PM,0,0,,
294,11/02/18 03:41:30 PM,0,0,,
295,11/02/18 03:41:40 PM,1,1,,
296,11/02/18 03:41:50 PM,1,1,,
297,11/02/18 03:42:00 PM,0,0,,
298,11/02/18 03:42:10 PM,0,0,,
299,11/02/18 03:42:20 PM,0,0,,
300,11/02/18 03:42:30 PM,1,0,,
301,11/02/18 03:42:40 PM,0,1,,
302,11/02/18 03:42:50 PM,0,0,,
303,11/02/18 03:43:00 PM,1,0,,
304,11/02/18 03:43:10 PM,1,1,,
305,11/02/18 03:43:20 PM,0,0,,
306,11/02/18 03:43:30 PM,0,1,,
307,11/02/18 03:43:40 PM,1,0,,
308,11/02/18 03:43:50 PM,0,0,,
309,11/02/18 03:44:00 PM,1,1,,
310,11/02/18 03:44:10 PM,0,1,,
311,11/02/18 03:44:20 PM,0,0,,
312,11/02/18 03:44:30 PM,0,0,,
313,11/02/18 03:44:40 PM,1,1,,
314,11/02/18 03:44:50 PM,0,0,,
315,11/02/18 03:45:00 PM,0,0,,
316,11/02/18 03:45:10 PM,0,0,,
317,11/02/18 03:45:20 PM,0,0,,
318,11/02/18 03:45:30 PM,0,0,,
319,11/02/18 03:45:40 PM,0,0,,
320,11/02/18 03:45:50 PM,0,0,,
321,11/02/18 03:46:00 PM,0,0,,
322,11/02/18 03:46:10 PM,0,0,,
323,11/02/18 03:46:17 PM,,,,0.00
324,11/02/18 03:46:20 PM,0,0,,
325,11/02/18 03:46:30 PM,1,1,,
326,11/02/18 03:46:40 PM,0,0,,
327,11/02/18 03:46:42 PM,,,,1.00
328,11/02/18 03:46:50 PM,1,1,,
329,11/02/18 03:47:00 PM,0,0,,
330,11/02/18 03:47:10 PM,0,0,,
331,11/02/18 03:47:20 PM,0,0,,
332,11/02/18 03:47:30 PM,0,0,,
333,11/02/18 03:47:40 PM,0,0,,
334,11/02/18 03:47:50 PM,1,1,,
335,11/02/18 03:48:00 PM,0,0,,
336,11/02/18 03:48:10 PM,0,1,,
337,11/02/18 03:48:20 PM,1,0,,
338,11/02/18 03:48:30 PM,0,0,,
339,11/02/18 03:48:40 PM,1,1,,
340,11/02/18 03:48:50 PM,0,0,,
341,11/02/18 03:49:00 PM,0,0,,
342,11/02/18 03:49:10 PM,0,1,,
343,11/02/18 03:49:20 PM,1,0,,
344,11/02/18 03:49:30 PM,0,0,,
345,11/02/18 03:49:40 PM,0,1,,
346,11/02/18 03:49:50 PM,1,0,,
347,11/02/18 03:50:00 PM,0,1,,
