"Plot Title: 10959074"
"#","Date Time, GMT-07:00","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH1)","Counts, # (LGR S/N: 10959074, SEN S/N: 10959074, LBL: Motion CH2)"
97,11/02/18 03:24:40 PM,0,0
98,11/02/18 03:24:50 PM,0,0
99,11/02/18 03:25:00 PM,1,1
100,11/02/18 03:25:10 PM,0,0
101,11/02/18 03:25:20 PM,0,0
102,11/02/18 03:25:30 PM,1,0
103,11/02/18 03:25:40 PM,0,1
104,11/02/18 03:25:50 PM,0,0
105,11/02/18 03:26:00 PM,0,0
106,11/02/18 03:26:10 PM,0,0
107,11/02/18 03:26:20 PM,0,0
108,11/02/18 03:26:30 PM,1,1
109,11/02/18 03:26:40 PM,0,0
110,11/02/18 03:26:50 PM,0,0
111,11/02/18 03:27:00 PM,0,0
112,11/02/18 03:27:10 PM,0,0
113,11/02/18 03:27:20 PM,0,0
114,11/02/18 03:27:30 PM,0,0
115,11/02/18 03:27:40 PM,0,0
116,11/02/18 03:27:50 PM,0,0
117,11/02/18 03:28:00 PM,1,1
118,11/02/18 03:28:10 PM,0,0
119,11/02/18 03:28:20 PM,0,1
120,11/02/18 03:28:30 PM,1,1
121,11/02/18 03:28:40 PM,0,0
122,11/02/18 03:28:50 PM,0,0
123,11/02/18 03:29:00 PM,1,1
124,11/02/18 03:29:10 PM,1,0
125,11/02/18 03:29:20 PM,0,1
126,11/02/18 03:29:30 PM,0,0
127,11/02/18 03:29:40 PM,1,1
128,11/02/18 03:29:50 PM,0,0
129,11/02/18 03:30:00 PM,0,0
130,11/02/18 03:30:10 PM,0,0
131,11/02/18 03:30:20 PM,1,1
132,11/02/18 03:30:30 PM,0,0
133,11/02/18 03:30:40 PM,0,0
134,11/02/18 03:30:50 PM,1,1
135,11/02/18 03:31:00 PM,0,0
136,11/02/18 03:31:10 PM,0,0
137,11/02/18 03:31:20 PM,1,1
138,11/02/18 03:31:30 PM,1,0
139,11/02/18 03:31:40 PM,1,1
140,11/02/18 03:31:50 PM,1,1
141,11/02/18 03:32:00 PM,1,0
142,11/02/18 03:32:10 PM,1,1
143,11/02/18 03:32:20 PM,0,0
144,11/02/18 03:32:30 PM,0,0
145,11/02/18 03:32:40 PM,0,0
146,11/02/18 03:32:50 PM,0,0
147,11/02/18 03:33:00 PM,0,0
148,11/02/18 03:33:10 PM,1,1
149,11/02/18 03:33:20 PM,0,0
150,11/02/18 03:33:30 PM,0,1
151,11/02/18 03:33:40 PM,0,0
152,11/02/18 03:33:50 PM,1,1
153,11/02/18 03:34:00 PM,0,0
154,11/02/18 03:34:10 PM,0,0
155,11/02/18 03:34:20 PM,0,0
156,11/02/18 03:34:30 PM,1,1
157,11/02/18 03:34:40 PM,0,0
158,11/02/18 03:34:50 PM,0,0
159,11/02/18 03:35:00 PM,1,1
160,11/02/18 03:35:10 PM,1,1
161,11/02/18 03:35:20 PM,0,0
162,11/02/18 03:35:30 PM,0,0
163,11/02/18 03:35:40 PM,1,1
164,11/02/18 03:35:50 PM,1,1
