"Plot Title: 20433441"
"#","Date Time, GMT-07:00","Light (LGR S/N: 20433441, SEN S/N: 20433441)","Occupancy (LGR S/N: 20433441, SEN S/N: 20433441)","Internal Calibration (LGR S/N: 20433441)","Host Connected (LGR S/N: 20433441)","Stopped (LGR S/N: 20433441)","End Of File (LGR S/N: 20433441)"
117,10/15/18 07:51:36 AM,1.00,,,,,
118,10/15/18 07:51:40 AM,0.00,,,,,
119,10/15/18 07:51:42 AM,1.00,,,,,
120,10/15/18 07:51:43 AM,0.00,,,,,
121,10/15/18 07:51:57 AM,1.00,,,,,
122,10/15/18 07:51:59 AM,0.00,,,,,
123,10/15/18 07:52:05 AM,1.00,,,,,
124,10/15/18 07:52:08 AM,0.00,,,,,
125,10/15/18 07:52:20 AM,1.00,,,,,
126,10/15/18 07:52:24 AM,0.00,,,,,
127,10/15/18 07:52:30 AM,1.00,,,,,
128,10/15/18 07:52:34 AM,0.00,,,,,
129,10/15/18 07:52:43 AM,1.00,,,,,
130,10/15/18 07:52:47 AM,0.00,,,,,
131,10/15/18 07:53:03 AM,1.00,,,,,
132,10/15/18 07:53:05 AM,0.00,,,,,
133,10/15/18 07:53:29 AM,1.00,,,,,
134,10/15/18 07:53:33 AM,0.00,,,,,
135,10/15/18 07:53:58 AM,1.00,,,,,
136,10/15/18 07:54:00 AM,0.00,,,,,
137,10/15/18 07:54:03 AM,1.00,,,,,
138,10/15/18 07:54:14 AM,0.00,,,,,
139,10/15/18 07:54:20 AM,1.00,,,,,
140,10/15/18 07:54:23 AM,0.00,,,,,
141,10/15/18 07:54:32 AM,1.00,,,,,
142,10/15/18 07:54:38 AM,0.00,,,,,
143,10/15/18 07:54:44 AM,1.00,,,,,
144,10/15/18 07:54:53 AM,0.00,,,,,
145,10/15/18 07:54:55 AM,1.00,,,,,
146,10/15/18 07:54:56 AM,0.00,,,,,
147,10/15/18 07:56:00 AM,1.00,,,,,
148,10/15/18 07:56:03 AM,0.00,,,,,
149,10/15/18 07:57:06 AM,1.00,,,,,
150,10/15/18 07:57:09 AM,0.00,,,,,
151,10/15/18 07:57:10 AM,1.00,,,,,
152,10/15/18 07:57:15 AM,0.00,,,,,
153,10/15/18 07:57:17 AM,1.00,,,,,
154,10/15/18 07:57:26 AM,0.00,,,,,
155,10/15/18 07:57:28 AM,1.00,,,,,
156,10/15/18 07:57:36 AM,0.00,,,,,
157,10/15/18 07:58:49 AM,1.00,,,,,
158,10/15/18 07:58:53 AM,0.00,,,,,
159,10/15/18 07:59:09 AM,1.00,,,,,
160,10/15/18 07:59:14 AM,0.00,,,,,
161,10/15/18 07:59:58 AM,1.00,,,,,
162,10/15/18 08:00:01 AM,0.00,,,,,
163,10/15/18 08:01:17 AM,1.00,,,,,
164,10/15/18 08:01:25 AM,0.00,,,,,
165,10/15/18 08:01:57 AM,1.00,,,,,
166,10/15/18 09:09:15 AM,0.00,,,,,
167,10/15/18 09:09:21 AM,1.00,,,,,
168,10/15/18 11:38:41 AM,,1.00,,,,
169,10/15/18 11:45:15 AM,,0.00,,,,
170,10/15/18 12:45:05 PM,,1.00,,,,
171,10/15/18 01:07:10 PM,,0.00,,,,
172,10/15/18 02:47:45 PM,,1.00,,,,
173,10/15/18 04:00:58 PM,,0.00,,,,
174,10/15/18 04:02:31 PM,,1.00,,,,
175,10/15/18 04:21:34 PM,,0.00,,,,
176,10/15/18 05:10:21 PM,,1.00,,,,
177,10/15/18 05:17:28 PM,,0.00,,,,
178,10/15/18 05:28:08 PM,,1.00,,,,
179,10/15/18 05:31:16 PM,0.00,,,,,
180,10/15/18 05:35:29 PM,,0.00,,,,
181,10/15/18 05:35:42 PM,,1.00,,,,
182,10/15/18 05:37:12 PM,,0.00,,,,
183,10/15/18 05:37:58 PM,,1.00,,,,
